"id","artist","artist_wikilink","birthplace","birth_osm","residence","res_osm","birthyear","band"
"2002_1_1","Excellence","sv.wikipedia.org/wiki/Excellence",,,,,,"0"
"2002_1_2","Tom Nordahl","sv.wikipedia.org/wiki/Tom_Nordahl",,,,,,"0"
"2002_1_3","Barbados","sv.wikipedia.org/wiki/Barbados_(musikgrupp)",,,,,,"0"
"2002_1_4","Camilla Lindén","sv.wikipedia.org/wiki/Camilla_Lind%C3%A9n",,,,,,"0"
"2002_1_5","Brandsta City Släckers","sv.wikipedia.org/wiki/Brandsta_City_Sl%C3%A4ckers",,,,,,"0"
"2002_1_6","Zoë",,,,,,,"0"
"2002_1_7","Richard Sköld","sv.wikipedia.org/wiki/Richard_Sk%C3%B6ld",,,,,,"0"
"2002_1_8","Méndez","sv.wikipedia.org/wiki/M%C3%A9ndez",,,,,,"0"
"2002_2_1","Poets","sv.wikipedia.org/wiki/The_Poets",,,,,,"0"
"2002_2_2","Jennifer Newberry","sv.wikipedia.org/wiki/Jennifer_Newberry",,,,,,"0"
"2002_2_3","Javiera","sv.wikipedia.org/wiki/Javiera_Mu%C3%B1oz",,,,,,"0"
"2002_2_4","Martin","sv.wikipedia.org/wiki/Martin_(s%C3%A5ngare)",,,,,,"0"
"2002_2_5","Ann-Louise Hanson & Molle Holmberg","sv.wikipedia.org/wiki/Ann-Louise_Hanson & sv.wikipedia.org/wiki/Molle_Holmberg",,,,,,"0"
"2002_2_6","Jakob Stadell & Voice Boys",,,,,,,"0"
"2002_2_7","Afro-Dite","sv.wikipedia.org/wiki/Afro-Dite",,,,,,"0"
"2002_2_8","Annika Ljungberg","sv.wikipedia.org/wiki/Annika_Ljungberg",,,,,,"0"
"2002_3_1","Tove Jaarnek","sv.wikipedia.org/wiki/Towe_Jaarnek",,,,,,"0"
"2002_3_2","Date","sv.wikipedia.org/wiki/Date",,,,,,"0"
"2002_3_3","Linda Grip","sv.wikipedia.org/wiki/Linda_Grip",,,,,,"0"
"2002_3_4","Arvingarna","sv.wikipedia.org/wiki/Arvingarna",,,,,,"0"
"2002_3_5","Östen med Resten","sv.wikipedia.org/wiki/%C3%96sten_med_Resten",,,,,,"0"
"2002_3_6","Rolf Carlsson","sv.wikipedia.org/wiki/Rolf_Carlsson",,,,,,"0"
"2002_3_7","Sylvia Vrethammar","sv.wikipedia.org/wiki/Sylvia_Vrethammar",,,,,,"0"
"2002_3_8","Hanna & Lina","sv.wikipedia.org/wiki/Hanna_Hedlund & sv.wikipedia.org/wiki/Lina_Hedlund",,,,,,"0"
"2002_4_1","Carina Jaarnek","sv.wikipedia.org/wiki/Carina_Jaarnek",,,,,,"0"
"2002_4_2","Solo",,,,,,,"0"
"2002_4_3","Niklas Andersson","sv.wikipedia.org/wiki/Niklas_Andersson_(artist)",,,,,,"0"
"2002_4_4","Friends","sv.wikipedia.org/wiki/Friends_(musikgrupp)",,,,,,"0"
"2002_4_5","The Honeydrops",,,,,,,"0"
"2002_4_6","Kikki, Bettan & Lotta","sv.wikipedia.org/wiki/Kikki,_Bettan_%26_Lotta",,,,,,"0"
"2002_4_7","Jan Johansen","sv.wikipedia.org/wiki/Jan_Johansen",,,,,,"0"
"2002_4_8","Fredrik Wännman","sv.wikipedia.org/wiki/Fredrik_W%C3%A4nnman",,,,,,"0"
"2003_1_1","Crosstalk","sv.wikipedia.org/wiki/Crosstalk",,,,,,"0"
"2003_1_2","DeDe Lopez","sv.wikipedia.org/wiki/DeDe_Lopez",,,,,,"0"
"2003_1_4","Alive & Jessie Martins",,,,,,,"0"
"2003_1_5","Jill Johnson","sv.wikipedia.org/wiki/Jill_Johnson",,,,,,"0"
"2003_1_6","Da Buzz","sv.wikipedia.org/wiki/Da_Buzz",,,,,,"0"
"2003_1_7","Markus Landgren","sv.wikipedia.org/wiki/Markus_Landgren",,,,,,"0"
