"id","artist","artist_wikilink","birthplace","birth_osm","residence","res_osm","birthyear","band"
"2015_1_1","Molly Pettersson Hammar","http://sv.wikipedia.org/wiki/Molly_Pettersson_Hammar","","","","","",0
"2015_1_2","Daniel Gildenlöw","http://sv.wikipedia.org/wiki/Daniel_Gildenl%C3%B6w","","","","","",0
"2015_1_3","Elize Ryd & Rickard Söderberg","http://sv.wikipedia.org/wiki/Rickard_S%C3%B6derberg; http://sv.wikipedia.org/wiki/Elize_Ryd","","","","","",0
"2015_1_4","Dolly Style","http://sv.wikipedia.org/wiki/Dolly_Style","","","","","",0
"2015_1_5","Behrang Miri feat. Victor Crone","http://sv.wikipedia.org/wiki/Behrang_Miri; http://sv.wikipedia.org/w/index.php?title=Victor_Crone&action=edit&redlink=1","","","","","",0
"2015_1_6","Jessica Andersson","http://sv.wikipedia.org/wiki/Jessica_Andersson","","","","","",0
"2015_1_7","Eric Saade","http://sv.wikipedia.org/wiki/Eric_Saade","","","","","",0
"2015_2_1","Linus Svenning","http://sv.wikipedia.org/wiki/Linus_Svenning","","","","","",0
"2015_2_2","Emelie Irewald","http://sv.wikipedia.org/wiki/Emelie_Irewald","","","","","",0
"2015_2_3","Samir & Viktor","http://sv.wikipedia.org/wiki/Samir_%26_Viktor","","","","","",0
"2015_2_4","Neverstore","http://sv.wikipedia.org/wiki/Neverstore","","","","","",0
"2015_2_5","Marie Bergman & Sanne Salomonsen","http://sv.wikipedia.org/wiki/Marie_Bergman; http://sv.wikipedia.org/wiki/Sanne_Salomonsen","","","","","",0
"2015_2_6","Magnus Carlsson","http://sv.wikipedia.org/wiki/Magnus_Carlsson_(s%C3%A5ngare)","","","","","",0
"2015_2_7","Mariette","http://sv.wikipedia.org/wiki/Mariette_Hansson","","","","","",0
"2015_3_1","Ellen Benediktson","http://sv.wikipedia.org/wiki/Ellen_Benediktson","","","","","",0
"2015_3_2","Kalle Johansson","http://sv.wikipedia.org/wiki/Kalle_Johansson_(artist)","","","","","",0
"2015_3_3","Andreas Weise","http://sv.wikipedia.org/wiki/Andreas_Weise","","","","","",0
"2015_3_4","Andreas Johnson","http://sv.wikipedia.org/wiki/Andreas_Johnson","","","","","",0
"2015_3_5","Isa","http://sv.wikipedia.org/wiki/Isa_Tengblad","","","","","",0
"2015_3_6","Kristin Amparo","http://sv.wikipedia.org/wiki/Kristin_Amparo","","","","","",0
"2015_3_7","Jon Henrik Fjällgren","http://sv.wikipedia.org/wiki/Jon_Henrik_Fj%C3%A4llgren","","","","","",0
"2015_4_1","Midnight Boy","http://sv.wikipedia.org/wiki/Midnight_Boy","","","","","",0
"2015_4_2","Caroline Wennergren","http://sv.wikipedia.org/wiki/Caroline_Wennergren","","","","","",0
"2015_4_3","JTR","http://sv.wikipedia.org/wiki/JTR","","","","","",0
"2015_4_4","Hasse Andersson","http://sv.wikipedia.org/wiki/Hasse_Andersson","","","","","",0
"2015_4_5","Dinah Nah","http://sv.wikipedia.org/wiki/Dinah_Nah","","","","","",0
"2015_4_6","Annika Herlitz","http://sv.wikipedia.org/wiki/Annika_Herlitz","","","","","",0
"2015_4_7","Måns Zelmerlöw","http://sv.wikipedia.org/wiki/M%C3%A5ns_Zelmerl%C3%B6w","","","","","",0
