"artist";"year";"song_name";"lyrics";"lyrics_cleaned"
"Excellence";2002;"Last to Know";"You kept me holding on
I'm always the last to know
Uhh, yeah
When I saw you out with her
I was torn in pieces
Felt like something died inside me
And I never find the words
Never know the reasons
I just put it all behind me
But before I go
I want you to know
Just how much I loved you
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know
After all the things we shared
All our times together
After all the nights you held me
If you really didn't care
If we're lost forever
(If we're lost forever)
Baby I thought you would tell me
How could I be blind?
Was it all a lie?
Did you ever loved me?
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know
Uuhh, uuhh
The last to know
Will it ever turn out right
When our love was sended
Will I ever always be a last to know
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know";"You kept me holding on
I'm always the last to know
Uhh, yeah
When I saw you out with her
I was torn in pieces
Felt like something died inside me
And I never find the words
Never know the reasons
I just put it all behind me
But before I go
I want you to know
Just how much I loved you
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know
After all the things we shared
All our times together
After all the nights you held me
If you really didn't care
If we're lost forever
(If we're lost forever)
Baby I thought you would tell me
How could I be blind?
Was it all a lie?
Did you ever loved me?
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know
Uuhh, uuhh
The last to know
Will it ever turn out right
When our love was sended
Will I ever always be a last to know
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know
You kept me holding on
Now I can't let you go
So tell me where we went wrong
I'm always the last to know"
"Tom Nordahl";2002;"Blue as Her Angel Eyes";"She's got a special gift
She knows how to use
She's a devil in disguise
She makes me intoxicated
Look into her eyes
Telling me that she will stay
But then she turns away
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
I tried so many ways
I feel like a fool
I guess I have to play that part
Went to see my best friend
And it nearly broke my heart
To find her earring on his floor
Behind the bedroom door
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
Then the one I called my friend
That used to be so cool
Was acting more and more like me
Another crazy fool
Blue as her angel eyes
Blue as her angel eyes
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
Blue as her, blue as her
Blue as her angel eyes";"She's got a special gift
She knows how to use
She's a devil in disguise
She makes me intoxicated
Look into her eyes
Telling me that she will stay
But then she turns away
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
I tried so many ways
I feel like a fool
I guess I have to play that part
Went to see my best friend
And it nearly broke my heart
To find her earring on his floor
Behind the bedroom door
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
Then the one I called my friend
That used to be so cool
Was acting more and more like me
Another crazy fool
Blue as her angel eyes
Blue as her angel eyes
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
She's always in disguise
And she gets away with lies
She's making me come back as
Blue as her angel eyes
Blue as her angel eyes
Blue as her, blue as her
Blue as her angel eyes"
"Barbados";2002;"Världen utanför";"Vi river murarna och närmar oss varann
Vi bygger upp nåt nytt som inga andra kan
Den tomhet som jag kände finns inte längre kvar
Vi vet vad som än händer och vad vi har
Världen utanför, vad bryr vi oss om den
Ingen ser och hör, i våran värld, nu och här
Världen utanför är ingenting för oss
Vad alla andra gör är deras sak, deras värld
Världen utanför
Vill andas in den luft som du just andats ut
Det brinner inom mig som det aldrig gjort förut
Den tomhet som jag kände finns inte längre kvar
Vi vet vad som än händer och vad vi har
Världen utanför, vad bryr vi oss om den
Ingen ser och hör, i våran värld, nu och här
Världen utanför är ingenting för oss
Vad alla andra gör är deras sak, deras värld
Världen utanför
Vi vet vad som än händer och vad vi har
Världen utanför, vad bryr vi oss om den
Ingen ser och hör, i våran värld, nu och här
Världen utanför är ingenting för oss
Vad alla andra gör är deras sak, deras värld
Världen utanför";"Vi river murarna och närmar oss varann
Vi bygger upp nåt nytt som inga andra kan
Den tomhet som jag kände finns inte längre kvar
Vi vet vad som än händer och vad vi har
Världen utanför, vad bryr vi oss om den
Ingen ser och hör, i våran värld, nu och här
Världen utanför är ingenting för oss
Vad alla andra gör är deras sak, deras värld
Världen utanför
Vill andas in den luft som du just andats ut
Det brinner inom mig som det aldrig gjort förut
Den tomhet som jag kände finns inte längre kvar
Vi vet vad som än händer och vad vi har
Världen utanför, vad bryr vi oss om den
Ingen ser och hör, i våran värld, nu och här
Världen utanför är ingenting för oss
Vad alla andra gör är deras sak, deras värld
Världen utanför
Vi vet vad som än händer och vad vi har
Världen utanför, vad bryr vi oss om den
Ingen ser och hör, i våran värld, nu och här
Världen utanför är ingenting för oss
Vad alla andra gör är deras sak, deras värld
Världen utanför"
"Camilla Lindén";2002;"Du har rört vid min själ";"Du går ofta förbi
Försöker fånga din blick
Du tittar alltid åt, något annat håll
Hur är svaret jag fick
Jag vet ej var du bor
Jag känner inte ditt namn
Det finns något som, jag inte tvekar om
Du har rört vid min själ
Jag vill att du ska finnas här hos mig
Och känna hur det värmer inom mig
Måste hålla dig, måste känna dig
Jag vill va inom dig
Jag vill att vi försvinner i varann
Förför oss med att drömmen blivit'sann
Jag vill ge dig mer, ge dig allt du ser
Du har rört vid min själ
Blir det bara en dröm?
Ska jag aldrig nå fram?
Har jag något som, du inte tycker om
Kommer tanken på skalv
Jag vill att du ska finnas här hos mig
Och känna hur det värmer inom mig
Måste hålla dig, måste känna dig
Jag vill va inom dig
Jag vill att vi försvinner i varann
Förför oss med att drömmen blivit'sann
Jag vill ge dig mer, ge dig allt du ser
Du har rört vid min själ
Jag vill att vi försvinner i varann
Förför oss med att drömmen blivit'sann
Jag vill ge dig mer, ge dig allt du ser
Du har rört vid min själ";"Du går ofta förbi
Försöker fånga din blick
Du tittar alltid åt, något annat håll
Hur är svaret jag fick
Jag vet ej var du bor
Jag känner inte ditt namn
Det finns något som, jag inte tvekar om
Du har rört vid min själ
Jag vill att du ska finnas här hos mig
Och känna hur det värmer inom mig
Måste hålla dig, måste känna dig
Jag vill va inom dig
Jag vill att vi försvinner i varann
Förför oss med att drömmen blivit'sann
Jag vill ge dig mer, ge dig allt du ser
Du har rört vid min själ
Blir det bara en dröm?
Ska jag aldrig nå fram?
Har jag något som, du inte tycker om
Kommer tanken på skalv
Jag vill att du ska finnas här hos mig
Och känna hur det värmer inom mig
Måste hålla dig, måste känna dig
Jag vill va inom dig
Jag vill att vi försvinner i varann
Förför oss med att drömmen blivit'sann
Jag vill ge dig mer, ge dig allt du ser
Du har rört vid min själ
Jag vill att vi försvinner i varann
Förför oss med att drömmen blivit'sann
Jag vill ge dig mer, ge dig allt du ser
Du har rört vid min själ"
"Brandsta City Släckers";2002;"Kom och ta mig";"Jag står här på gatan vi bodde på
En gång var den hela vår värld
Men ingenting känns likadant som då
Inga lyckliga människor bor här
De dörrar som alltid stod öppna då
Är stängda och låsta idag
Fast alla är ensamma hemma ändå
Så blev det för oss som blev kvar
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Ja, kom och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån
Jag minns att de sa du var rastlös då
Att stan var för liten för dig
Jag förstod inte alls vad de mena då
Men jag önska de sagt så om mig
Fast ingenting skulle få skilja oss åt
Så såg jag ditt tåg ge sig av
Jag klamra mig fast vid en skylt och grät
Både skylten och jag vi står kvar
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Åh, och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån
Och om jag fick leva mitt liv igen
Så skulle jag ta samma tåg
Men jag förstod inte alls vad du mena då
Och jag såg inte alls det du såg
För fönstren var aldrig så mörka då
Och gatan var inte så smal
Och förresten så skulle vi följas åt
Så kom nu jag vill ge mig av
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Ja, kom och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Ja, kom och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån";"Jag står här på gatan vi bodde på
En gång var den hela vår värld
Men ingenting känns likadant som då
Inga lyckliga människor bor här
De dörrar som alltid stod öppna då
Är stängda och låsta idag
Fast alla är ensamma hemma ändå
Så blev det för oss som blev kvar
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Ja, kom och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån
Jag minns att de sa du var rastlös då
Att stan var för liten för dig
Jag förstod inte alls vad de mena då
Men jag önska de sagt så om mig
Fast ingenting skulle få skilja oss åt
Så såg jag ditt tåg ge sig av
Jag klamra mig fast vid en skylt och grät
Både skylten och jag vi står kvar
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Åh, och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån
Och om jag fick leva mitt liv igen
Så skulle jag ta samma tåg
Men jag förstod inte alls vad du mena då
Och jag såg inte alls det du såg
För fönstren var aldrig så mörka då
Och gatan var inte så smal
Och förresten så skulle vi följas åt
Så kom nu jag vill ge mig av
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Ja, kom och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån
Kom och ta mig långt härifrån (KLAPP KLAPP)
Långt härifrån (KLAPP KLAPP), långt härifrån
Ja, kom och ta mig långt härifrån (KLAPP KLAPP)
Kom ta mig långt härifrån"
"Zoë";2002;"Hollywood-do";"";""
"Richard Sköld";2002;"En värld som alltid brinner";"";""
"Méndez";2002;"Adrenaline";"Adrenalina...
Adrenaline is all you need baby!
Ooeo
Ooeo
Ooeo
Ooeo
Ooeo
Adrenaline is all you need baby!
Cuando llegó el salvador no hablo del pais
Sino de mi emperador, creador,
Del ritmo latino de lo' año' dos mil
Calentando estocolmo con fiesta en fin
Dime quien la lleva
Can you feel it mami
Dime quien la entrega
Vacila que ahora llega
Tie me up, a mí,
Strike me down, seguro,
Knock me up, aquí,
Keep me bound (say what?)
Did you really think that you could keep mendez down baby
Ooeo I will provide it
Ooeo to make you feel good
Ooeo don't try to hide it
Adrenaline is all you need baby!
Ooeo I'm starred up your body
Ooeo I and you hold me behood
Ooeo no need to hide it
Adenaline is all you need baby!
El efecto, empieza en los pies,
Sube a la cabeza o también al revés, ¿ves?
Rapidez se necesita, a lo mejor un poco excita
El mundo esta muy crazy
Y el efecto no termina
Pero aqui esta mendez con la
Inyección de la adrenalina
Tie me up, a mí,
Strike me down, seguro,
Knock me up, aquí,
Keep me bound
Did you really think that you could keep mendez down baby
Ooeo I will provide it
Ooeo to make you feel good (oh)
Ooeo don't try to hide it
Adrenaline is all you need baby!
Ooeo I'm starred up your body (oh)
Ooeo I and you hold me behood
Ooeo no need to hide it
Adenaline is all you need baby!
Si ya tu sabes baby quien la lleva
I give you adrenaline no hay problema
In fact I wanna tell you al momento
Tu cuerpo en seguida sentira caiga
Ooeo I will provide it
Ooeo to make you feel good
Ooeo don't try to hide it
Adrenaline is all you need baby!
Ooeo I'm struck up your body
Ooeo I and you hold me behood
Ooeo no need to hide it
Adenaline is all you need baby!
(...inyección de adrenalina..)
Adrenaline is all you need baby|::.";"Adrenalina
Adrenaline is all you need baby!
Ooeo
Ooeo
Ooeo
Ooeo
Ooeo
Adrenaline is all you need baby!
Cuando llegó el salvador no hablo del pais
Sino de mi emperador, creador,
Del ritmo latino de lo' año' dos mil
Calentando estocolmo con fiesta en fin
Dime quien la lleva
Can you feel it mami
Dime quien la entrega
Vacila que ahora llega
Tie me up, a mí,
Strike me down, seguro,
Knock me up, aquí,
Keep me bound (say what?)
Did you really think that you could keep mendez down baby
Ooeo I will provide it
Ooeo to make you feel good
Ooeo don't try to hide it
Adrenaline is all you need baby!
Ooeo I'm starred up your body
Ooeo I and you hold me behood
Ooeo no need to hide it
Adenaline is all you need baby!
El efecto, empieza en los pies,
Sube a la cabeza o también al revés, ¿ves?
Rapidez se necesita, a lo mejor un poco excita
El mundo esta muy crazy
Y el efecto no termina
Pero aqui esta mendez con la
Inyección de la adrenalina
Tie me up, a mí,
Strike me down, seguro,
Knock me up, aquí,
Keep me bound
Did you really think that you could keep mendez down baby
Ooeo I will provide it
Ooeo to make you feel good (oh)
Ooeo don't try to hide it
Adrenaline is all you need baby!
Ooeo I'm starred up your body (oh)
Ooeo I and you hold me behood
Ooeo no need to hide it
Adenaline is all you need baby!
Si ya tu sabes baby quien la lleva
I give you adrenaline no hay problema
In fact I wanna tell you al momento
Tu cuerpo en seguida sentira caiga
Ooeo I will provide it
Ooeo to make you feel good
Ooeo don't try to hide it
Adrenaline is all you need baby!
Ooeo I'm struck up your body
Ooeo I and you hold me behood
Ooeo no need to hide it
Adenaline is all you need baby!
(inyección de adrenalina)
Adrenaline is all you need baby|::."
"Poets";2002;"What Difference Does It Make?";"It all comes over me
I'd really like to see
Why did you have to go
I need to know
I miss you so
If I could turn back time
I would have changed your mind
I'd never let you go
I love you so
But still I know
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
How was I to know
When you said you loved me so
It all was make believe
I tried to see
Is it up to me
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
Goodbye, goodbye
Goodbye-ye-ye-ye-ye
Oooh yeeah
I tried to see
Is it up to me
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
Goodbye, goodbye
Goodbye-ye-ye-ye-ye";"It all comes over me
I'd really like to see
Why did you have to go
I need to know
I miss you so
If I could turn back time
I would have changed your mind
I'd never let you go
I love you so
But still I know
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
How was I to know
When you said you loved me so
It all was make believe
I tried to see
Is it up to me
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
Goodbye, goodbye
Goodbye-ye-ye-ye-ye
Oooh yeeah
I tried to see
Is it up to me
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
What difference does it make
If I still want you (ooh)
When I know for sure that
I can't make you mine, ooh
What difference does it make
If I still need you (ooh)
When we already have waved
That our last goodbye, goodbye
Goodbye-ye-ye-ye-ye
Goodbye, goodbye
Goodbye-ye-ye-ye-ye"
"Jennifer Newberry";2002;"Ingenting ingenting";"";""
